model,prompt_id,prompt_name,label,precision,recall,f1,tp,fp,fn,tn,support,macro_f1,micro_f1,texts_evaluated
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Religion,0.612,0.8957,0.7272,1907,1209,222,53458,2129,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,IntellectualHumility,0.2586,0.2928,0.2746,1259,3610,3041,48886,4300,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,AnalyticalThinking,0.2459,0.6709,0.3598,3563,10929,1748,40556,5311,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,GeneralizedTrust,0.0527,0.1249,0.0741,110,1977,771,53938,881,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Individualism,0.1786,0.5858,0.2737,2441,11228,1726,41401,4167,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Collectivism,0.18,0.2091,0.1935,398,1813,1505,53080,1903,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Honor,0.0351,0.4414,0.065,222,6104,281,50189,503,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Tightness,0.1049,0.4339,0.1689,420,3585,548,52243,968,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Looseness,0.0335,0.2923,0.0601,140,4038,339,52279,479,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Care,0.2837,0.6904,0.4021,3024,7637,1356,44779,4380,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Equality,0.2054,0.699,0.3176,1245,4815,536,50200,1781,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Proportionality,0.1793,0.2088,0.193,458,2096,1735,52507,2193,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Loyalty,0.064,0.5417,0.1144,500,7318,423,48555,923,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Authority,0.3581,0.3489,0.3534,3071,5505,5731,42489,8802,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Purity,0.0364,0.3487,0.0659,106,2805,198,53687,304,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Ownership,0.2192,0.5177,0.308,1156,4117,1077,50446,2233,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Liberty,0.1594,0.5837,0.2504,886,4673,632,50605,1518,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Honesty,0.0739,0.8401,0.1359,3015,37765,574,15442,3589,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,ThinMorality,0.0838,0.369,0.1366,1051,11493,1797,42455,2848,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,OffensiveUncivilLanguage,0.4579,0.8385,0.5923,5990,7091,1154,42561,7144,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Hate,0.2741,0.6007,0.3764,1136,3009,755,51896,1891,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Fear,0.1146,0.2903,0.1644,155,1197,379,55065,534,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Threat,0.2416,0.8401,0.3753,2858,8972,544,44422,3402,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,CreativityInnovation,0.4193,0.332,0.3706,3012,4171,6059,43554,9071,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Kinship,0.7383,0.6337,0.682,2652,940,1533,51671,4185,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,Religion,0.575,0.9187,0.7073,1956,1446,173,53221,2129,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,IntellectualHumility,0.2545,0.2981,0.2746,1282,3756,3018,48740,4300,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,AnalyticalThinking,0.2321,0.7102,0.3498,3772,12483,1539,39002,5311,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,3,0-shot_binary_threat,GeneralizedTrust,0.0388,0.143,0.0611,126,3120,755,52795,881,0.2797,0.2958,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Individualism,0.2693,0.2683,0.2688,1118,3033,3049,49596,4167,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Collectivism,0.1702,0.2133,0.1894,406,1979,1497,52914,1903,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Honor,0.0736,0.3936,0.124,198,2492,305,53801,503,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Tightness,0.0977,0.4752,0.1621,460,4246,508,51582,968,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Looseness,0.0524,0.1983,0.0829,95,1719,384,54598,479,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Care,0.3759,0.6057,0.4639,2653,4404,1727,48012,4380,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Equality,0.2511,0.6856,0.3676,1221,3641,560,51374,1781,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Proportionality,0.209,0.1208,0.1531,265,1003,1928,53600,2193,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Loyalty,0.0654,0.4583,0.1145,423,6045,500,49828,923,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Authority,0.3815,0.3037,0.3382,2673,4333,6129,43661,8802,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Purity,0.0509,0.4243,0.091,129,2403,175,54089,304,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Ownership,0.275,0.4268,0.3345,953,2512,1280,52051,2233,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Liberty,0.1623,0.5599,0.2517,850,4386,668,50892,1518,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Honesty,0.0885,0.7771,0.1589,2789,28731,800,24476,3589,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,ThinMorality,0.0842,0.7862,0.152,2239,24366,609,29582,2848,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,OffensiveUncivilLanguage,0.5455,0.7884,0.6448,5632,4692,1512,44960,7144,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Hate,0.3499,0.5114,0.4155,967,1797,924,53108,1891,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Fear,0.1175,0.2247,0.1543,120,901,414,55361,534,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Threat,0.26,0.7619,0.3876,2592,7379,810,46015,3402,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,CreativityInnovation,0.5366,0.1707,0.2589,1548,1337,7523,46388,9071,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Kinship,0.7999,0.5379,0.6432,2251,563,1934,52048,4185,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,Religion,0.6613,0.7886,0.7194,1679,860,450,53807,2129,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,IntellectualHumility,0.2278,0.3488,0.2756,1500,5085,2800,47411,4300,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,AnalyticalThinking,0.2694,0.5566,0.363,2956,8018,2355,43467,5311,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,4,multi-shot_binary_reasoning,GeneralizedTrust,0.0439,0.1215,0.0645,107,2331,774,53584,881,0.2872,0.2991,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Individualism,0.2206,0.4154,0.2881,1731,6117,2436,46512,4167,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Collectivism,0.2131,0.1655,0.1863,315,1163,1588,53730,1903,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Honor,0.0586,0.3062,0.0984,154,2472,349,53821,503,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Tightness,0.1246,0.3244,0.18,314,2207,654,53621,968,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Looseness,0.0511,0.19,0.0805,91,1690,388,54627,479,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Care,0.336,0.6493,0.4428,2844,5621,1536,46795,4380,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Equality,0.2704,0.644,0.3809,1147,3095,634,51920,1781,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Proportionality,0.2399,0.1354,0.1731,297,941,1896,53662,2193,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Loyalty,0.0869,0.4225,0.1441,390,4100,533,51773,923,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Authority,0.3848,0.2357,0.2924,2075,3317,6727,44677,8802,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Purity,0.0468,0.2796,0.0802,85,1732,219,54760,304,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Ownership,0.29,0.4053,0.3381,905,2216,1328,52347,2233,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Liberty,0.2093,0.504,0.2958,765,2890,753,52388,1518,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Honesty,0.0985,0.7726,0.1748,2773,25372,816,27835,3589,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,ThinMorality,0.0895,0.336,0.1414,957,9734,1891,44214,2848,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,OffensiveUncivilLanguage,0.4708,0.8417,0.6038,6013,6760,1131,42892,7144,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Hate,0.2833,0.5701,0.3785,1078,2727,813,52178,1891,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Fear,0.127,0.2247,0.1623,120,825,414,55437,534,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Threat,0.2616,0.801,0.3944,2725,7690,677,45704,3402,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,CreativityInnovation,0.4625,0.2285,0.3059,2073,2409,6998,45316,9071,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Kinship,0.7523,0.6141,0.6762,2570,846,1615,51765,4185,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,Religion,0.5857,0.9211,0.7161,1961,1387,168,53280,2129,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,IntellectualHumility,0.2837,0.2533,0.2676,1089,2750,3211,49746,4300,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,AnalyticalThinking,0.2728,0.5707,0.3692,3031,8079,2280,43406,5311,0.2898,0.3261,56796
casperhansen/llama-3.3-70b-instruct-awq,6,0-shot_binary_incentive_strict,GeneralizedTrust,0.067,0.0851,0.075,75,1044,806,54871,881,0.2898,0.3261,56796
